order_id,customer_id,customer_name,gender,age,state,city,region,loyalty_tier,payment_method,category,subcategory,product_name,manufacturer,sku,quantity,selling_price,unit_cost,warehouse,courier,shipping_mode,delivery_days,rto,rto_reason,discount_percent,revenue,cost,profit,order_date,dispatch_date,delivery_date
ORD-101032,CUST-67037,Chaitaly Bahri,Male,42.0,Jharkhand,Ranchi,East,Silver,Debit Card,Electronics,Accessories,Mechanical Keyboard,Keychron,ELE-AC-002,2,5433,3911,Kolkata FC,Delhivery,Standard,5,False,,22,8475,7822,653,2025-10-22,2025-10-23,2025-10-28
ORD-105001,CUST-70995,Manthan Bahri,Male,23.0,Jharkhand,Ranchi,East,Bronze,UPI,Home & Kitchen,Kitchen,Air Fryer,Philips,HM-KT-003,1,6989,4193,Kolkata FC,Blue Dart,Express,2,False,,23,5381,4193,1188,2024-12-09,2024-12-10,2024-12-12
ORD-105898,CUST-57962,Anirudh Rao,Female,,Andhra Pradesh,Vijayawada,South,Bronze,Cash on Delivery,Fashion,Women,Sneakers,Nike,FAS-WM-003,4,4179,1880,Bengaluru FC,Delhivery,Standard,6,False,,24,12704,7520,5184,2025-09-09,2025-09-10,2025-09-16
ORD-102898,CUST-69921,Dalaja Chahal,Male,33.0,Odisha,Cuttack,East,Bronze,Credit Card,Home & Kitchen,Kitchen,Mixer Grinder,Prestige,HM-KT-001,4,4122,2473,Kolkata FC,Blue Dart,Express,3,False,,16,13849,9892,3957,2025-12-03,2025-12-04,2025-12-07
ORD-102216,CUST-00645,Sudiksha Bala,Male,34.0,Gujarat,Vadodara,West,Bronze,UPI,Electronics,Laptops,Lenovo ThinkPad E16,Lenovo,ELE-LP-004,1,72718,52356,Mumbai FC,Blue Dart,Standard,4,False,,8,66900,52356,14544,2025-04-07,2025-04-08,2025-04-12
ORD-104117,CUST-92621,Utkarsh Shankar,Female,67.0,Maharashtra,Nashik,West,Bronze,Cash on Delivery,Electronics,Smartphones,Google Pixel 10,Google,ELE-SP-004,1,66671,48003,Mumbai FC,Delhivery,Same Day,1,False,,32,45336,48003,-2667,2025-12-28,2025-12-29,2025-12-30
ORD-105342,CUST-03347,Rishi Mohan,Male,55.0,Punjab,Amritsar,North,Bronze,Debit Card,Home & Kitchen,Kitchen,Air Fryer,Philips,HM-KT-003,3,7000,4200,Delhi FC,Ekart,Standard,5,False,,2,20580,12600,7980,2025-12-06,2025-12-07,2025-12-12
ORD-103731,CUST-39708,Aryan Pau,Female,53.0,Haryana,Gurugram,North,Silver,Cash on Delivery,Books,Fiction,The Alchemist,HarperOne,BK-FC-003,1,338,185,Delhi FC,Delhivery,Standard,8,False,,28,243,185,58,2024-12-03,2024-12-04,2024-12-12
ORD-104346,CUST-53068,Pranit Savant,Female,59.0,Delhi,New Delhi,North,Bronze,Net Banking,Home & Kitchen,Home Decor,Table Lamp,Wipro,HM-HD-002,3,1450,870,Delhi FC,Delhivery,Standard,8,False,,33,2914,2610,304,2024-11-20,2024-11-21,2024-11-29
ORD-100697,CUST-72151,Farhan Sengupta,Female,26.0,Delhi,New Delhi,North,Gold,UPI,Books,Programming,Designing Data-Intensive Applications,O'Reilly,BK-PR-003,2,1186,652,Delhi FC,Ekart,Same Day,0,False,,14,2039,1304,735,2024-01-18,2024-01-19,2024-01-19
ORD-105655,CUST-80798,Radhika Sankar,Male,34.0,Punjab,Amritsar,North,Bronze,Credit Card,Electronics,Accessories,USB-C Hub,Anker,ELE-AC-003,4,2580,1857,Delhi FC,Blue Dart,Same Day,1,False,,1,10216,7428,2788,2025-02-09,2025-02-10,2025-02-11
ORD-104906,CUST-10402,Yasti Das,Female,22.0,Jharkhand,Ranchi,East,Bronze,Cash on Delivery,Electronics,Accessories,Wireless Mouse,Logitech,ELE-AC-001,3,1335,961,Kolkata FC,Delhivery,Standard,6,False,,32,2723,2883,-160,2025-10-21,2025-10-22,2025-10-28
ORD-103692,CUST-25776,Logan Sahota,Female,67.0,Uttar Pradesh,Varanasi,North,Gold,Cash on Delivery,Home & Kitchen,Home Decor,Wall Clock,Ajanta,HM-HD-001,1,883,529,Delhi FC,DTDC,Express,4,True,Fake Order,29,626,529,97,2025-05-21,2025-05-22,2025-05-26
ORD-105526,CUST-03445,Ryan Rattan,Female,51.0,Uttar Pradesh,Kanpur,North,Silver,Debit Card,Home & Kitchen,Home Decor,Indoor Plant,Ugaoo,HM-HD-003,3,594,356,Delhi FC,Blue Dart,Express,2,False,,0,1782,1068,714,2025-09-21,2025-09-22,2025-09-24
ORD-100265,CUST-84005,Samar Loke,Female,25.0,Telangana,Warangal,South,Bronze,Debit Card,Electronics,Smartphones,Samsung Galaxy S25,Samsung,ELE-SP-002,1,72764,52390,Bengaluru FC,Delhivery,Standard,8,False,,24,55300,52390,2910,2025-11-04,2025-11-05,2025-11-13
ORD-100916,CUST-86204,Dayamai Gill,Male,64.0,Jharkhand,Jamshedpur,East,Bronze,UPI,Fashion,Women,Kurti,Biba,FAS-WM-001,4,1450,652,Kolkata FC,Ekart,Standard,7,False,,13,5046,2608,2438,2025-08-01,2025-08-02,2025-08-09
ORD-100572,CUST-18168,Yashasvi Shankar,Female,62.0,Bihar,Patna,East,Bronze,Cash on Delivery,Home & Kitchen,Home Decor,Table Lamp,Wipro,HM-HD-002,4,1493,895,Kolkata FC,XpressBees,Standard,8,True,Duplicate Order,26,4419,3580,839,2024-03-31,2024-04-01,2024-04-09
ORD-104733,CUST-03176,Sneha Dixit,Male,20.0,Gujarat,Ahmedabad,West,Silver,UPI,Electronics,Accessories,Mechanical Keyboard,Keychron,ELE-AC-002,1,5366,3863,Mumbai FC,Delhivery,Express,2,False,,13,4668,3863,805,2024-04-25,2024-04-26,2024-04-28
ORD-102480,CUST-57420,Anjali Korpal,Female,31.0,Odisha,Bhubaneswar,East,Bronze,Net Banking,Fashion,Women,Sneakers,Nike,FAS-WM-003,1,4140,1863,Kolkata FC,Blue Dart,Express,3,False,,25,3105,1863,1242,2024-08-16,2024-08-17,2024-08-20
ORD-103364,CUST-73011,Lakshit Palla,Male,30.0,Kerala,Thiruvananthapuram,South,Bronze,UPI,Electronics,Accessories,Noise Cancelling Headphones,Sony,ELE-AC-004,3,13336,9601,Bengaluru FC,DTDC,Standard,8,False,,4,38407,28803,9604,2025-10-10,2025-10-11,2025-10-19
ORD-102103,CUST-58266,Fitan Narang,Female,28.0,Kerala,Kochi,South,Silver,Credit Card,Fashion,Men,Running Shoes,Puma,FAS-MN-003,3,3586,1613,Bengaluru FC,Blue Dart,Standard,5,False,,16,9036,4839,4197,2025-08-25,2025-08-26,2025-08-31
ORD-100514,CUST-79075,Anvi Bhandari,Male,42.0,Tamil Nadu,Chennai,South,Bronze,UPI,Electronics,Accessories,Wireless Mouse,Logitech,ELE-AC-001,2,1266,911,Bengaluru FC,Blue Dart,Standard,8,True,Customer Not Available,6,2380,1822,558,2025-07-09,2025-07-10,2025-07-18
ORD-102608,CUST-06783,Urmi Vala,Female,53.0,Karnataka,Mysuru,South,Silver,UPI,Home & Kitchen,Home Decor,Wall Clock,Ajanta,HM-HD-001,1,895,537,Bengaluru FC,Delhivery,Same Day,0,False,,16,751,537,214,2024-01-23,2024-01-24,2024-01-24
ORD-102904,CUST-16014,Varsha Tank,Female,26.0,Telangana,Warangal,South,Bronze,Net Banking,Fashion,Women,Kurti,Biba,FAS-WM-001,4,1459,656,Bengaluru FC,Delhivery,Standard,4,False,,17,4843,2624,2219,2025-03-20,2025-03-21,2025-03-25
ORD-100182,CUST-13846,Ryan Bahri,Male,68.0,Tamil Nadu,Chennai,South,Bronze,Credit Card,Home & Kitchen,Home Decor,Table Lamp,Wipro,HM-HD-002,4,1522,913,Bengaluru FC,Delhivery,Standard,5,False,,9,5540,3652,1888,2025-09-25,2025-09-26,2025-10-01
ORD-103315,CUST-39825,Theodore Contractor,Male,58.0,West Bengal,Kolkata,East,Bronze,Credit Card,Home & Kitchen,Kitchen,Pressure Cooker,Hawkins,HM-KT-002,2,2621,1572,Kolkata FC,Ekart,Express,4,False,,14,4508,3144,1364,2024-02-24,2024-02-25,2024-02-29
ORD-100736,CUST-50590,Azad Chander,Male,35.0,West Bengal,Howrah,East,Platinum,Debit Card,Fashion,Women,Sneakers,Nike,FAS-WM-003,2,4148,1866,Kolkata FC,Delhivery,Standard,5,False,,31,5724,3732,1992,2024-11-19,2024-11-20,2024-11-25
ORD-101425,CUST-34019,Abeer Basak,Female,44.0,Kerala,Thiruvananthapuram,South,Silver,UPI,Books,Fiction,1984,Penguin,BK-FC-002,4,411,226,Bengaluru FC,Delhivery,Standard,7,True,COD Rejected,28,1183,904,279,2025-12-01,2025-12-02,2025-12-09
ORD-103374,CUST-35139,Krishna Saha,Male,19.0,West Bengal,Siliguri,East,Silver,Debit Card,Electronics,Accessories,USB-C Hub,Anker,ELE-AC-003,2,2378,1712,Kolkata FC,XpressBees,Standard,8,False,,6,4470,3424,1046,2025-12-13,2025-12-14,2025-12-22
ORD-103326,CUST-93790,Ekaraj Ganesan,Female,65.0,Uttar Pradesh,Lucknow,North,Silver,Cash on Delivery,Fashion,Men,Cotton T-Shirt,Levi's,FAS-MN-001,2,781,351,Delhi FC,Blue Dart,Standard,4,False,,31,1077,702,375,2025-07-18,2025-07-19,2025-07-23
ORD-103542,CUST-86405,Upma Menon,Female,51.0,Delhi,New Delhi,North,Silver,Debit Card,Fashion,Men,Cotton T-Shirt,Levi's,FAS-MN-001,3,822,369,Delhi FC,Blue Dart,Standard,6,False,,14,2120,1107,1013,2024-07-17,2024-07-18,2024-07-24
ORD-100958,CUST-06155,Falan Jain,Female,42.0,Rajasthan,Jaipur,North,Platinum,Debit Card,Home & Kitchen,Home Decor,Table Lamp,Wipro,HM-HD-002,4,1485,891,Delhi FC,Delhivery,Standard,5,True,Duplicate Order,19,4811,3564,1247,2024-11-18,2024-11-19,2024-11-24
ORD-102042,CUST-26353,Turvi Devan,Female,57.0,West Bengal,Howrah,East,Bronze,UPI,Home & Kitchen,Kitchen,Mixer Grinder,Prestige,HM-KT-001,4,3943,2365,Kolkata FC,Delhivery,Express,4,False,,12,13879,9460,4419,2024-06-08,2024-06-09,2024-06-13
ORD-101873,CUST-13415,Zashil Sehgal,Female,43.0,Tamil Nadu,Madurai,South,Gold,Credit Card,Fashion,Men,Slim Fit Jeans,Wrangler,FAS-MN-002,2,2007,903,Bengaluru FC,Shadowfax,Same Day,0,False,,16,3371,1806,1565,2025-11-08,2025-11-09,2025-11-09
ORD-104532,CUST-41070,Yuvraj Brahmbhatt,Female,59.0,Goa,Panaji,West,Bronze,UPI,Home & Kitchen,Kitchen,Pressure Cooker,Hawkins,HM-KT-002,3,2562,1537,Mumbai FC,Delhivery,Express,2,False,,18,6302,4611,1691,2025-04-23,2025-04-24,2025-04-26
ORD-103425,CUST-78034,Pranit Tripathi,Male,68.0,Uttar Pradesh,Kanpur,North,Gold,Cash on Delivery,Home & Kitchen,Home Decor,Wall Clock,Ajanta,HM-HD-001,2,908,544,Delhi FC,Blue Dart,Standard,4,False,,35,1180,1088,92,2024-10-17,2024-10-18,2024-10-22
ORD-103149,CUST-95582,Zayyan Goda,Male,44.0,West Bengal,Kolkata,East,Silver,Credit Card,Home & Kitchen,Home Decor,Wall Clock,Ajanta,HM-HD-001,3,870,522,Kolkata FC,Delhivery,Standard,4,False,,25,1957,1566,391,2025-10-01,2025-10-02,2025-10-06
ORD-105162,CUST-38501,Balhaar Menon,Male,68.0,Goa,Panaji,West,Silver,Credit Card,Electronics,Smartphones,Apple iPhone 16,Apple,ELE-SP-001,1,80206,57748,Mumbai FC,Ekart,Standard,6,True,Fake Order,8,73789,57748,16041,2025-08-04,2025-08-05,2025-08-11
ORD-104380,CUST-84227,William Mohan,Male,38.0,West Bengal,Howrah,East,Bronze,UPI,Electronics,Smartphones,Apple iPhone 16,Apple,ELE-SP-001,3,78687,56654,Kolkata FC,Delhivery,Standard,8,False,,8,217176,169962,47214,2025-12-16,2025-12-17,2025-12-25
ORD-100261,CUST-78147,Netra Varkey,Male,41.0,Gujarat,Vadodara,West,Silver,UPI,Books,Programming,Designing Data-Intensive Applications,O'Reilly,BK-PR-003,3,1250,687,Mumbai FC,Ekart,Express,2,False,,9,3412,2061,1351,2025-12-19,2025-12-20,2025-12-22
ORD-100976,CUST-04571,Anthony Bhattacharyya,Male,30.0,Telangana,Hyderabad,South,Silver,Cash on Delivery,Books,Fiction,The Hobbit,HarperCollins,BK-FC-001,1,492,270,Bengaluru FC,DTDC,Same Day,1,False,,4,472,270,202,2024-12-05,2024-12-06,2024-12-07
ORD-103141,CUST-95560,Vedika Kala,Female,43.0,West Bengal,Kolkata,East,Silver,Debit Card,Books,Fiction,1984,Penguin,BK-FC-002,3,385,211,Kolkata FC,Delhivery,Express,3,False,,22,900,633,267,2025-04-23,2025-04-24,2025-04-27
ORD-100202,CUST-49775,Ekta Gopal,Female,57.0,Punjab,Jalandhar,North,Bronze,Debit Card,Fashion,Women,Handbag,Lavie,FAS-WM-002,1,2595,1167,Delhi FC,Blue Dart,Standard,6,True,Duplicate Order,33,1738,1167,571,2025-08-13,2025-08-14,2025-08-20
ORD-100962,CUST-48826,Ishita Johal,Female,52.0,Delhi,,North,Silver,Credit Card,Electronics,Smartphones,Apple iPhone 16,Apple,ELE-SP-001,1,79795,57452,Delhi FC,Blue Dart,Standard,7,False,,8,73411,57452,15959,2024-07-19,2024-07-20,2024-07-27
ORD-101946,CUST-44976,Jagrati Madan,Female,38.0,Goa,Margao,West,Bronze,Debit Card,Home & Kitchen,Kitchen,Air Fryer,Philips,HM-KT-003,4,6722,4033,Mumbai FC,Delhivery,Standard,8,False,,16,22585,16132,6453,2024-12-20,2024-12-21,2024-12-29
ORD-103792,CUST-62341,Kashvi Nazareth,Female,59.0,Andhra Pradesh,Vijayawada,South,Gold,UPI,Electronics,Accessories,USB-C Hub,Anker,ELE-AC-003,2,2477,1783,Bengaluru FC,Delhivery,Standard,8,True,Damaged Package,27,3616,3566,50,2024-10-06,2024-10-07,2024-10-15
ORD-104699,CUST-22163,Gavin Madan,Male,36.0,Gujarat,Surat,West,Bronze,Cash on Delivery,Electronics,Accessories,Wireless Mouse,Logitech,ELE-AC-001,1,1334,960,Mumbai FC,Delhivery,Standard,8,False,,12,1173,960,213,2025-03-25,2025-03-26,2025-04-03
ORD-105900,CUST-43296,Reva Sood,Male,26.0,Telangana,Warangal,South,Bronze,UPI,Fashion,Women,Handbag,Lavie,FAS-WM-002,2,2509,1129,Bengaluru FC,Blue Dart,Standard,4,False,,27,3663,2258,1405,2024-01-23,2024-01-24,2024-01-28
ORD-100437,CUST-76768,Balveer Kota,Female,20.0,Haryana,Panipat,North,Platinum,UPI,Home & Kitchen,Kitchen,Mixer Grinder,Prestige,HM-KT-001,3,4086,2451,Delhi FC,Delhivery,Standard,5,False,,11,10909,7353,3556,2024-09-25,2024-09-26,2024-10-01
ORD-101671,CUST-91558,Ubika Seth,Male,49.0,Haryana,Panipat,North,Silver,UPI,Books,Programming,Hands-On Machine Learning,O'Reilly,BK-PR-002,4,1052,578,Delhi FC,DTDC,Standard,8,False,,21,3324,2312,1012,2025-06-09,2025-06-10,2025-06-18
ORD-101634,CUST-66504,Ayushman Mammen,Male,61.0,Telangana,Warangal,South,Bronze,UPI,Electronics,Laptops,Lenovo ThinkPad E16,Lenovo,ELE-LP-004,3,76619,55165,Bengaluru FC,Blue Dart,Standard,4,False,,13,199975,165495,34480,2024-02-28,2024-02-29,2024-03-04
ORD-103037,CUST-45171,Manan Pandit,Male,70.0,Tamil Nadu,Chennai,South,Silver,Cash on Delivery,Books,Fiction,1984,Penguin,BK-FC-002,4,409,224,Bengaluru FC,Blue Dart,Standard,8,False,,3,1586,896,690,2024-07-31,2024-08-01,2024-08-09
ORD-102198,CUST-31585,Aachal Bhalla,Female,52.0,Rajasthan,Jodhpur,North,Gold,UPI,Fashion,Women,Kurti,Biba,FAS-WM-001,3,1510,679,Delhi FC,Delhivery,Express,3,True,COD Rejected,11,4031,2037,1994,2024-08-29,2024-08-30,2024-09-02
ORD-105048,CUST-53028,Saumya Sandal,Female,34.0,Tamil Nadu,Chennai,South,Silver,Debit Card,Home & Kitchen,Kitchen,Air Fryer,Philips,HM-KT-003,4,7120,4272,Bengaluru FC,Blue Dart,Standard,8,False,,14,24492,17088,7404,2024-11-28,2024-11-29,2024-12-07
ORD-104151,CUST-03197,Bishakha Kar,Male,37.0,Rajasthan,Jaipur,North,Silver,UPI,Books,Programming,Hands-On Machine Learning,O'Reilly,BK-PR-002,2,1132,622,Delhi FC,Blue Dart,Standard,7,False,,30,1584,1244,340,2024-09-14,2024-09-15,2024-09-22
ORD-101520,CUST-07821,Zehaan Srivastava,Male,25.0,Telangana,Warangal,South,Bronze,UPI,Fashion,Women,Kurti,Biba,FAS-WM-001,2,1424,640,Bengaluru FC,Delhivery,Express,3,False,,30,1993,1280,713,2024-02-17,2024-02-18,2024-02-21
ORD-100947,CUST-05654,Hemang Jha,Female,32.0,Maharashtra,Nagpur,West,Silver,UPI,Electronics,Accessories,Noise Cancelling Headphones,Sony,ELE-AC-004,1,12810,9223,Mumbai FC,Delhivery,Express,4,False,,31,8838,9223,-385,2024-10-17,2024-10-18,2024-10-22
ORD-102845,CUST-11365,Yashodhara Kar,Female,23.0,Haryana,Gurugram,North,Silver,UPI,Fashion,Women,Handbag,Lavie,FAS-WM-002,1,2577,1159,Delhi FC,Ekart,Express,2,False,,18,2113,1159,954,2025-05-01,2025-05-02,2025-05-04
ORD-105583,CUST-39593,Gavin Chad,Female,34.0,Delhi,New Delhi,North,Platinum,UPI,Home & Kitchen,Home Decor,Wall Clock,Ajanta,HM-HD-001,3,892,535,Delhi FC,DTDC,Express,4,False,,20,2140,1605,535,2024-01-13,2024-01-14,2024-01-18
ORD-103538,CUST-40588,Kamya Sagar,Female,66.0,Andhra Pradesh,Vijayawada,South,Bronze,UPI,Electronics,Laptops,Lenovo ThinkPad E16,Lenovo,ELE-LP-004,1,72835,52441,Bengaluru FC,Blue Dart,Same Day,1,True,Damaged Package,27,53169,52441,728,2025-04-21,2025-04-22,2025-04-23
ORD-101473,CUST-66255,Fiyaz Chawla,Male,18.0,Andhra Pradesh,Visakhapatnam,South,Bronze,Credit Card,Fashion,Women,Handbag,Lavie,FAS-WM-002,3,2507,1128,Bengaluru FC,Blue Dart,Standard,8,False,,34,4963,3384,1579,2025-01-08,2025-01-09,2025-01-17
ORD-105659,CUST-14300,Pallavi Patla,Male,29.0,Haryana,Panipat,North,Gold,Debit Card,Electronics,Accessories,Noise Cancelling Headphones,Sony,ELE-AC-004,2,13508,9725,Delhi FC,Delhivery,Standard,7,False,,5,25665,19450,6215,2024-07-07,2024-07-08,2024-07-15
ORD-102230,CUST-18871,Chandran Rattan,Male,38.0,Gujarat,Ahmedabad,West,Silver,UPI,Books,Fiction,The Hobbit,HarperCollins,BK-FC-001,1,507,278,Mumbai FC,Blue Dart,Standard,8,False,,2,496,278,218,2025-03-25,2025-03-26,2025-04-03
ORD-104412,CUST-93017,Jatin Borra,Female,41.0,Kerala,Kochi,South,Bronze,Cash on Delivery,Fashion,Women,Handbag,Lavie,FAS-WM-002,2,2527,1137,Bengaluru FC,Delhivery,Express,3,False,,17,4194,2274,1920,2025-08-12,2025-08-13,2025-08-16
ORD-103891,CUST-84231,Indrajit Mann,Male,28.0,Rajasthan,Udaipur,North,Bronze,Cash on Delivery,Electronics,Accessories,Wireless Mouse,Logitech,ELE-AC-001,3,1274,917,Delhi FC,Delhivery,Standard,4,False,,26,2828,2751,77,2025-07-26,2025-07-27,2025-07-31
ORD-104589,CUST-29193,,Male,70.0,Uttar Pradesh,Lucknow,North,Platinum,UPI,Electronics,Smartphones,Samsung Galaxy S25,Samsung,ELE-SP-002,4,75237,54170,Delhi FC,Blue Dart,Standard,5,False,,12,264834,216680,48154,2025-03-14,2025-03-15,2025-03-20
ORD-101067,CUST-41800,Ekalinga Chahal,Male,28.0,Gujarat,Surat,West,Gold,Credit Card,Electronics,Laptops,MacBook Air M4,Apple,ELE-LP-001,4,108341,78005,Mumbai FC,Delhivery,Express,2,True,Customer Refused,10,390027,312020,78007,2024-06-03,2024-06-04,2024-06-06
ORD-104055,CUST-66351,Lajita Bawa,Female,24.0,West Bengal,Durgapur,East,Bronze,Cash on Delivery,Books,Programming,Designing Data-Intensive Applications,O'Reilly,BK-PR-003,2,1191,655,Kolkata FC,Delhivery,Standard,8,False,,21,1881,1310,571,2025-05-18,2025-05-19,2025-05-27
ORD-100246,CUST-88357,Jeet Sidhu,Male,42.0,West Bengal,Kolkata,East,Silver,UPI,Home & Kitchen,Kitchen,Air Fryer,Philips,HM-KT-003,3,6815,4089,Kolkata FC,Ekart,Express,3,False,,27,14924,12267,2657,2024-08-03,2024-08-04,2024-08-07
ORD-101841,CUST-19387,Vamakshi Walia,Female,29.0,Uttar Pradesh,Lucknow,North,Bronze,UPI,Home & Kitchen,Home Decor,Indoor Plant,Ugaoo,HM-HD-003,1,603,361,Delhi FC,Delhivery,Standard,4,False,,4,578,361,217,2024-11-26,2024-11-27,2024-12-01
ORD-100217,CUST-63807,Veda Malhotra,Male,36.0,Andhra Pradesh,Vijayawada,South,Gold,UPI,Electronics,Smartphones,Samsung Galaxy S25,Samsung,ELE-SP-002,1,75950,54684,Bengaluru FC,Blue Dart,Express,2,False,,27,55443,54684,759,2024-04-16,2024-04-17,2024-04-19
ORD-101579,CUST-03921,Ishani Dugal,Male,36.0,Maharashtra,Mumbai,West,Bronze,UPI,Home & Kitchen,Kitchen,Mixer Grinder,Prestige,HM-KT-001,4,4075,2445,Mumbai FC,Shadowfax,Standard,8,False,,26,12062,9780,2282,2024-11-17,2024-11-18,2024-11-26
ORD-102792,CUST-07064,Charvi Sibal,Female,38.0,Odisha,Cuttack,East,Silver,Credit Card,Books,Programming,Designing Data-Intensive Applications,O'Reilly,BK-PR-003,4,1233,678,Kolkata FC,Delhivery,Express,2,False,,5,4685,2712,1973,2024-06-18,2024-06-19,2024-06-21
ORD-103517,CUST-00061,Janaki Luthra,Male,61.0,Bihar,Patna,East,Bronze,Debit Card,Fashion,Men,Slim Fit Jeans,Wrangler,FAS-MN-002,1,1914,861,Kolkata FC,Delhivery,Standard,7,False,,23,1473,861,612,2024-12-03,2024-12-04,2024-12-11
